WORD	ABSOLUTE FREQUENCY	RELATIVE FREQUENCY
了	7100	1.9912608888315506
不	6464	1.8128887866770624
我	6322	1.7730635689004313
那	5816	1.631151173161169
是	5449	1.5282226173581859
的	5127	1.4379147291604732
他	4969	1.3936021629019684
一	4936	1.3843470066581032
你	4853	1.3610688864083822
道	4800	1.346204544562175
行者	3673	1.030126935870181
有	3180	0.8918605107724409
在	2911	0.8164169644209357
也	2645	0.7418147959097818
又	2217	0.6217782240196545
三	2200	0.6170104162576635
去	2021	0.5668082051166992
得	1988	0.5575530488728341
就	1830	0.5132404826143292
上	1794	0.5031439485301129
大	1588	0.4453693368259863
只	1563	0.4383578548230582
把	1537	0.4310659135400131
此	1385	0.3884361029622109
之	1341	0.37609589463705767
藏	1330	0.37301084255576933
著	1264	0.3545005300680394
等	1244	0.34889134446569703
老	1205	0.33795343254112936
要	1150	0.32252817213468776
人	1140	0.3197235793335165
好	1118	0.31355347517093995
看	1063	0.29812821476449836
師父	1051	0.2947627034030929
都	966	0.2709236645931377
知	956	0.26811907179196653
到	954	0.26755815323173227
中	929	0.2605466712288043
八戒	855	0.23979268450013744
笑	829	0.23250074321709233
